Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.People,Serious.Fatal.Injuries,Serious.Fatal.Rate,Aircraft.Destroyed,Serious.Fatal,Injury.Rate,Destroyed
20001211X13771,Accident,LAX94WA053,1993-11-13,"MULEGE, MEXICO",Mexico,,,Non-Fatal,Substantial,Airplane,N6879J,Piper,PA-32R-300,No,1.0,Reciprocating,,Personal,,0.0,1.0,3.0,1.0,VMC,Unknown,Foreign,05-05-1994,2.0,,,False,1.0,0.5,False
20001206X00618,Accident,FTW94FA060B,1994-01-02,"PEARLAND, TX",United States,T02,CLOVER FIELD,Fatal(5),Destroyed,Airplane,N739TL,Cessna,172N,No,1.0,Reciprocating,,Instructional,,5.0,0.0,,0.0,VMC,Approach,Probable Cause,12-04-2016,5.0,,,True,5.0,1.0,True
20001206X02019,Accident,CHI94LA298,1994-08-25,"CENTRALIA, IL",United States,,,Non-Fatal,Substantial,Airplane,N6307S,Cessna,150,No,1.0,Reciprocating,,Personal,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,02-05-2011,0.0,,,False,0.0,0.0,False
20001206X01926,Accident,ANC94LA126,1994-08-31,"CAPE SABINE, AK",United States,Z53,CAPE SABINE,Non-Fatal,Substantial,Airplane,N9825F,Cessna,208,No,1.0,Turbo Prop,NSCH,Unknown,,0.0,0.0,,2.0,VMC,Landing,Probable Cause,17-11-2009,2.0,,,False,0.0,0.0,False
20001206X02310,Accident,LAX94WA373,1994-09-14,"PRINCE GEORGE, CANADA",Canada,,,Non-Fatal,Substantial,Airplane,N1869J,Piper,PA-28-140,No,1.0,Unknown,,Personal,,0.0,0.0,,1.0,VMC,Unknown,Foreign,06-10-1994,1.0,,,False,0.0,0.0,False
20001206X02621,Accident,LAX95WA056,1994-11-18,"TRIPUI, MEXICO",Mexico,,,Non-Fatal,Substantial,Airplane,N71RJ,Piper,PA-32R-300,No,1.0,Unknown,,Personal,,0.0,0.0,,4.0,VMC,Unknown,Foreign,22-12-1994,4.0,,,False,0.0,0.0,False
20001206X02737,Accident,LAX95FA062,1994-12-27,"HOLTVILLE, CA",United States,IPL,IMPERIAL COUNTY AIRPORT,Fatal(2),Destroyed,Airplane,N4647R,Piper,PA-28-140,No,1.0,Reciprocating,,Business,,2.0,0.0,,0.0,VMC,Go-around,Probable Cause,17-08-2012,2.0,,,True,2.0,1.0,True
20001207X03370,Accident,NYC95LA093,1995-04-24,"BANGOR, ME",United States,BGR,BANGOR INTERNATIONAL ARPT,Non-Fatal,Substantial,Airplane,N62EC,Cessna,185,No,1.0,Reciprocating,,Personal,,0.0,0.0,,2.0,VMC,Landing,Probable Cause,15-06-2015,2.0,,,False,0.0,0.0,False
20001207X03480,Accident,FTW95WA227,1995-05-06,"SOTO CANO, HONDURAS",Honduras,MHSL,COMAYAGUA,Non-Fatal,Substantial,Airplane,N26496,Cessna,550,No,2.0,Turbo Fan,,Public Aircraft,,0.0,0.0,,3.0,VMC,Takeoff,Foreign,01-03-2012,3.0,,,False,0.0,0.0,False
20001207X04527,Accident,LAX95LA335,1995-09-15,"BAKERSFIELD, CA",United States,,,Non-Fatal,Substantial,Airplane,N7498L,Piper,PA-18-150,No,1.0,Reciprocating,,Personal,,0.0,0.0,,1.0,VMC,Cruise,Probable Cause,25-02-2010,1.0,,,False,0.0,0.0,False
